case_id,compute_work,council_branch_compute_work,council_branch_validation_nodes,council_compute_work,council_initial_compute_work,council_initial_validations,discovering_node,finishing_node,host_wall_seconds,mode,pouw_computations,pouw_compute_work,pouw_time,proof_hash_checks,proof_hash_compute_work,proof_semantic_checks,proof_semantic_compute_work,search_compute_work,simulation_time,total_computations,total_compute_work,total_hashes,total_time,transcript_compute_work,transcript_records,validation_computations,validation_compute_work,validation_time,validation_valid
0,0.05436406575997679,,,,,,,,0.03738840200003324,pow,,,,,,,,,16.58,,,47781,,,,,,,
0,,0.0,0,0.0,0.0,0,node1,node1,0.08848309299992252,none,2247,0.07515022301475163,23.016682877433855,0,0.0,0,0.0,0.07515022301475163,23.016682877433855,2247.0,0.07515022301475163,,23.016682877433855,0.0,0,0.0,0.0,0.0,True
0,,0.0,0,0.0,0.0,0,node4,node4,0.17721105600003284,proof,2130,0.08413324029982025,34.18770771964283,3931,0.011216554458855834,3944,0.072759898893637,0.07123719404602624,190.82555425087435,5026.498478422325,0.1681096936523131,,190.82555425087435,0.012896046253794013,3931,2510.9052656571816,0.08397645335249283,156.63784653123153,True
0,,0.04549439528581255,290,0.045514859240065465,2.046395425291507e-05,4,node1,node1,0.13237873900015984,council,2247,0.07515022301475163,23.016682877433855,0,0.0,0,0.0,0.07515022301475163,42.43460278020159,3607.8993374823604,0.12066508225481709,,42.43460278020159,0.0,0,1360.8993374823601,0.045514859240065465,19.417919902767736,True
1,0.005449946108082478,,,,,,,,0.004099445000065316,pow,,,,,,,,,1.6354883081155434,,,4790,,,,,,,
1,,0.0,0,0.0,0.0,0,node2,node3,0.09770882100019662,none,2899,0.09695616222508455,29.17632196152717,0,0.0,0,0.0,0.09695616222508455,29.17632196152717,2899.0,0.09695616222508455,,29.17632196152717,0.0,0,0.0,0.0,0.0,True
1,,0.0,0,0.0,0.0,0,node2,node3,0.24949898100021528,proof,2903,0.11457226876899483,45.020912348312194,5329,0.015205550422600545,5342,0.09855055271039778,0.0970899409932461,196.50552133210311,6827.043634495517,0.22832837190199318,,196.50552133210311,0.01748232777574874,5329,3401.32009574572,0.11375610313299833,151.48460898379093,True
1,,0.06384903062526107,407,0.06386949457951398,2.046395425291507e-05,4,node2,node3,0.17655399600016608,council,2899,0.09695616222508455,29.17632196152717,0,0.0,0,0.0,0.09695616222508455,85.50431042350439,4808.7049690989825,0.16082565680459854,,85.50431042350439,0.0,0,1909.7049690989825,0.06386949457951398,56.32798846197722,True
2,0.008706260463266622,,,,,,,,0.007098042000052374,pow,,,,,,,,,2.8333333333333335,,,7652,,,,,,,
2,,0.0,0,0.0,0.0,0,node3,node2,0.020916538999699696,none,612,0.0204681515287174,6.721633253992663,0,0.0,0,0.0,0.0204681515287174,6.721633253992663,612.0,0.0204681515287174,,6.721633253992663,0.0,0,0.0,0.0,0.0,True
2,,0.0,0,0.0,0.0,0,node1,node2,0.05979858199998489,proof,732,0.028910327202061003,12.449619611868355,1350,0.003852034728938025,1363,0.025144965058830432,0.02448151457356395,46.8236558700789,1731.4354971455682,0.057907326989829463,,46.8236558700789,0.004428812628497054,1350,867.0135085337786,0.028996999787768457,34.374036258210545,True
2,,0.012863932460126307,82,0.012884396414379221,2.046395425291507e-05,4,node3,node2,0.035798158000034164,council,612,0.0204681515287174,6.721633253992663,0,0.0,0,0.0,0.0204681515287174,17.168471531226682,997.2448812750313,0.033352547943096625,,17.168471531226682,0.0,0,385.2448812750312,0.012884396414379221,10.44683827723402,True
3,0.07544250033165445,,,,,,,,0.049543232999894826,pow,,,,,,,,,25.376644736842106,,,66307,,,,,,,
3,,0.0,0,0.0,0.0,0,node3,node3,0.1542163460003394,none,4280,0.14314328193286024,48.230072212909086,0,0.0,0,0.0,0.14314328193286024,48.230072212909086,4280.0,0.14314328193286024,,48.230072212909086,0.0,0,0.0,0.0,0.0,True
3,,0.0,0,0.0,0.0,0,node1,node5,0.3719387679998363,proof,4267,0.1683956141816181,70.24424458337562,7830,0.022341801427840546,7843,0.14468962652707784,0.1427085009363352,415.09851917563293,10029.305748471948,0.3354270421365365,,415.09851917563293,0.02568711324528291,7830,4994.25821452357,0.16703142795491838,344.8542745922573,True
3,,0.09851889737755269,628,0.0985393613318056,2.046395425291507e-05,4,node3,node3,0.26878630600003817,council,4280,0.14314328193286024,48.230072212909086,0,0.0,0,0.0,0.14314328193286024,136.08220268533663,7226.337828819269,0.24168264326466585,,136.08220268533663,0.0,0,2946.3378288192694,0.0985393613318056,87.85213047242753,True
4,0.11523734690290555,,,,,,,,0.08088599799975782,pow,,,,,,,,,38.482376636455186,,,101283,,,,,,,
4,,0.0,0,0.0,0.0,0,node4,node1,0.08598890599978404,none,2201,0.07361176718089378,24.70151245325507,0,0.0,0,0.0,0.07361176718089378,24.70151245325507,2201.0,0.07361176718089378,,24.70151245325507,0.0,0,0.0,0.0,0.0,True
4,,0.0,0,0.0,0.0,0,node5,node1,0.1993424560000676,proof,2242,0.08850564078022737,42.10197135513248,4122,0.011761546039024103,4135,0.07628351468691404,0.07498299955454969,680.9254258048838,5278.885549101853,0.1765507015061655,,680.9254258048838,0.01352264122567767,4122,2632.557077207189,0.08804506072593814,638.8234544497514,True
4,,0.05051446648976428,322,0.0505349304440172,2.046395425291507e-05,4,node4,node1,0.1352141530001063,council,2201,0.07361176718089378,24.70151245325507,0,0.0,0,0.0,0.07361176718089378,168.94817598771297,3712.0000230527185,0.12414669762491098,,168.94817598771297,0.0,0,1511.0000230527185,0.0505349304440172,144.2466635344579,True
5,0.17378046319628254,,,,,,,,0.12261938399979044,pow,,,,,,,,,49.12806539509537,,,152737,,,,,,,
5,,0.0,0,0.0,0.0,0,node2,node4,0.04195166199997402,none,1106,0.036989829396669026,10.578237615029504,0,0.0,0,0.0,0.036989829396669026,10.578237615029504,1106.0,0.036989829396669026,,10.578237615029504,0.0,0,0.0,0.0,0.0,True
5,,0.0,0,0.0,0.0,0,node5,node4,0.08839525000030335,proof,942,0.0372361115035153,14.622794276866648,1747,0.004984818275151652,1760,0.03246892039878324,0.031504899902045407,95.3669697024031,2233.2348011234344,0.0746898501774502,,95.3669697024031,0.005731211601469891,1747,1119.8709388235852,0.037453738673934894,80.74417542553645,True
5,,0.018668389789695494,119,0.018688853743948408,2.046395425291507e-05,4,node2,node4,0.06468541000003825,council,1106,0.036989829396669026,10.578237615029504,0,0.0,0,0.0,0.036989829396669026,24.866956315748375,1664.7987989657581,0.055678683140617434,,24.866956315748375,0.0,0,558.798798965758,0.018688853743948408,14.288718700718869,True
6,0.2191811311609621,,,,,,,,0.15435953699989113,pow,,,,,,,,,77.77223427331887,,,192640,,,,,,,
6,,0.0,0,0.0,0.0,0,node2,node3,0.05627793899975586,none,1429,0.047792464925714324,17.063107522777486,0,0.0,0,0.0,0.047792464925714324,17.063107522777486,1429.0,0.047792464925714324,,17.063107522777486,0.0,0,0.0,0.0,0.0,True
6,,0.0,0,0.0,0.0,0,node5,node4,0.13054308700020556,proof,1447,0.05711758995960698,26.219848888307748,2659,0.007587081736478673,2672,0.04929372460542547,0.0483944693824413,147.94600118943188,3408.5646883471472,0.11399839630151112,,147.94600118943188,0.008723120577165677,2659,1700.7424159628893,0.05688080634190414,121.72615230112415,True
6,,0.026982882721240546,172,0.02700334667549346,2.046395425291507e-05,4,node2,node3,0.08231569299960029,council,1429,0.047792464925714324,17.063107522777486,0,0.0,0,0.0,0.047792464925714324,46.89209973855143,2236.403059441664,0.07479581160120778,,46.89209973855143,0.0,0,807.4030594416639,0.02700334667549346,29.828992215773944,True
7,0.05843957869508148,,,,,,,,0.04067952700006572,pow,,,,,,,,,28.145307769929364,,,51363,,,,,,,
7,,0.0,0,0.0,0.0,0,node4,node2,0.11774697600003492,none,3412,0.11411328924180354,55.17704246253996,0,0.0,0,0.0,0.11411328924180354,55.17704246253996,3412.0,0.11411328924180354,,55.17704246253996,0.0,0,0.0,0.0,0.0,True
7,,0.0,0,0.0,0.0,0,node1,node3,0.32182620399998996,proof,3505,0.1382687070917882,97.24768478968595,6415,0.0183042983601018,6428,0.11858535245646516,0.11722364560155962,450.60541357844687,8227.265408097439,0.2751583579083552,,450.60541357844687,0.02104506149022859,6415,4093.0157362866016,0.13688965081656695,353.35772878876094,True
